x	y	z
4165302	1254109	0
4175302	1254109	0
4185302	1254109	0
4195302	1254109	0
4205302	1254109	0
4215302	1254109	0
4225302	1254109	0
4235302	1254109	0
4245302	1254109	0
4255302	1254109	0
4265302	1254109	0
4275302	1254109	0
4285302	1254109	0
4295302	1254109	0
4305302	1254109	0
4315302	1254109	0
4325302	1254109	0
4335302	1254109	0
4345302	1254109	0
4355302	1254109	0
4365302	1254109	0
4375302	1254109	0
4385302	1254109	0
4395302	1254109	0
4405302	1254109	0
4415302	1254109	0
4425302	1254109	0
4435302	1254109	0
4445302	1254109	0
4455302	1254109	0
4465302	1254109	0
4475302	1254109	0
4485302	1254109	0
4495302	1254109	0
4505302	1254109	0
4515302	1254109	0
4525302	1254109	0
4535302	1254109	0
4545302	1254109	0
4555302	1254109	0
4565302	1254109	0
4575302	1254109	0
4585302	1254109	0
4595302	1254109	0
4605302	1254109	0,01
4615302	1254109	0,01
4625302	1254109	0,01
4635302	1254109	0,01
4645302	1254109	0,01
4655302	1254109	0,01
4665302	1254109	0,01
4675302	1254109	0,01
4685302	1254109	0,01
4695302	1254109	0,01
4705302	1254109	0,01
4715302	1254109	0,01
4725302	1254109	0,01
4735302	1254109	0,01
4745302	1254109	0,01
4755302	1254109	0,01
4765302	1254109	0,01
4775302	1254109	0,01
4785302	1254109	0
4795302	1254109	0
4805302	1254109	0
4815302	1254109	0
4825302	1254109	0
4835302	1254109	0
4845302	1254109	0
4855302	1254109	0
4865302	1254109	0
4875302	1254109	0
4885302	1254109	0
4895302	1254109	0
4905302	1254109	0
4915302	1254109	0
4925302	1254109	0
4935302	1254109	0
4945302	1254109	0
4955302	1254109	0
4965302	1254109	0
4975302	1254109	0
4985302	1254109	0
4995302	1254109	0
5005302	1254109	0
5015302	1254109	0
5025302	1254109	0
5035302	1254109	0
5045302	1254109	0
5055302	1254109	0
5065302	1254109	0
5075302	1254109	0
5085302	1254109	0
5095302	1254109	0
5105302	1254109	0
5115302	1254109	0
5125302	1254109	0
5135302	1254109	0
5145302	1254109	0
5155302	1254109	0
5165302	1254109	0
5175302	1254109	0
5185302	1254109	0
5195302	1254109	0
5205302	1254109	0
5215302	1254109	0
5225302	1254109	0
5235302	1254109	0
5245302	1254109	0
5255302	1254109	0
5265302	1254109	0
5275302	1254109	0
5285302	1254109	0
5295302	1254109	0
5305302	1254109	0
5315302	1254109	0
5325302	1254109	0
5335302	1254109	0
5345302	1254109	0
5355302	1254109	0
5365302	1254109	0
5375302	1254109	0
5385302	1254109	0
5395302	1254109	0
5405302	1254109	0
5415302	1254109	0
5425302	1254109	0
5435302	1254109	0
5445302	1254109	0
5455302	1254109	0
5465302	1254109	0
5475302	1254109	0
5485302	1254109	0
5495302	1254109	0
5505302	1254109	0
5515302	1254109	0
5525302	1254109	0
5535302	1254109	0
5545302	1254109	0
5555302	1254109	0
5565302	1254109	0
5575302	1254109	0
5585302	1254109	0
5595302	1254109	0
5605302	1254109	0
5615302	1254109	0
5625302	1254109	0
5635302	1254109	0
5645302	1254109	0
5655302	1254109	0
5665302	1254109	0
5675302	1254109	0
5685302	1254109	0
5695302	1254109	0
5705302	1254109	0
5715302	1254109	0
5725302	1254109	0
5735302	1254109	0
5745302	1254109	0
5755302	1254109	0
5765302	1254109	0
5775302	1254109	0
5785302	1254109	0
5795302	1254109	0
5805302	1254109	0
5815302	1254109	0
5825302	1254109	0
5835302	1254109	0
5845302	1254109	0
5855302	1254109	0
5865302	1254109	0
5875302	1254109	0
5885302	1254109	0
5895302	1254109	0
5905302	1254109	0
5915302	1254109	0
5925302	1254109	0
5935302	1254109	0
5945302	1254109	0
5955302	1254109	0
5965302	1254109	0
5975302	1254109	0
5985302	1254109	0
5995302	1254109	0
6005302	1254109	0
6015302	1254109	0
6025302	1254109	0
6035302	1254109	0
6045302	1254109	0
6055302	1254109	0
6065302	1254109	0
6075302	1254109	0
6085302	1254109	0
6095302	1254109	0
6105302	1254109	0
6115302	1254109	0
6125302	1254109	0
6135302	1254109	0
6145302	1254109	0
6155302	1254109	0
6165302	1254109	0
6175302	1254109	0
6185302	1254109	0
6195302	1254109	0
6205302	1254109	0
6215302	1254109	0
6225302	1254109	0
6235302	1254109	0
6245302	1254109	0
6255302	1254109	0
6265302	1254109	0
6275302	1254109	0
6285302	1254109	0
6295302	1254109	0
6305302	1254109	0
6315302	1254109	0
6325302	1254109	0
6335302	1254109	0
6345302	1254109	0
6355302	1254109	0
6365302	1254109	0
6375302	1254109	0
6385302	1254109	0
6395302	1254109	0
6405302	1254109	0
6415302	1254109	0
6425302	1254109	0
6435302	1254109	0
6445302	1254109	0
6455302	1254109	0
6465302	1254109	0
6475302	1254109	0
6485302	1254109	0
6495302	1254109	0
6505302	1254109	0
6515302	1254109	0
6525302	1254109	0
6535302	1254109	0
6545302	1254109	0
6555302	1254109	0
6565302	1254109	0
6575302	1254109	0
6585302	1254109	0
6595302	1254109	0
6605302	1254109	0
6615302	1254109	0
6625302	1254109	0
6635302	1254109	0
6645302	1254109	0
6655302	1254109	0
6665302	1254109	0
6675302	1254109	0
6685302	1254109	0
6695302	1254109	0
6705302	1254109	0
6715302	1254109	0
6725302	1254109	0
6735302	1254109	0
6745302	1254109	0
6755302	1254109	0
6765302	1254109	0
6775302	1254109	0
6785302	1254109	0
6795302	1254109	0
6805302	1254109	0
6815302	1254109	0
6825302	1254109	0
6835302	1254109	0
6845302	1254109	0
6855302	1254109	0
